Format,1.0B,
Memory Length,10000,
IntpDistance,4096,
Trigger Address,4889,
Trigger Level,-9.400E-03,
Source,CH2,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,15,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E-03,
Vertical Position,4.800E-03,
Horizontal Units,S,
Horizontal Scale,5.000E-08,
Horizontal Position,1.105E-07,
Horizontal Mode,Main,
SincET Mode,Sinc2,
Sampling Period,1.000E-09,
Horizontal Old Scale,5.000E-08,
Horizontal Old Position,1.105E-07,
Firmware,V1.09,
Mode,Detail,
Waveform Data,
-4.379500e-06,-4.00e-04,
-4.378500e-06,-4.00e-04,
-4.377500e-06,-4.00e-04,
-4.376500e-06,-4.00e-04,
-4.375500e-06,-8.00e-04,
-4.374500e-06,-8.00e-04,
-4.373500e-06,-4.00e-04,
-4.372500e-06,-4.00e-04,
-4.371500e-06,-8.00e-04,
-4.370500e-06,-4.00e-04,
-4.369500e-06,-8.00e-04,
-4.368500e-06,-4.00e-04,
-4.367500e-06,-4.00e-04,
-4.366500e-06,-4.00e-04,
-4.365500e-06,-8.00e-04,
-4.364500e-06,-4.00e-04,
-4.363500e-06,-4.00e-04,
-4.362500e-06,-2.00e-04,
-4.361500e-06,-4.00e-04,
-4.360500e-06,-4.00e-04,
-4.359500e-06,-8.00e-04,
-4.358500e-06,-4.00e-04,
-4.357500e-06,-4.00e-04,
-4.356500e-06,-4.00e-04,
-4.355500e-06,-4.00e-04,
-4.354500e-06,-4.00e-04,
-4.353500e-06,-8.00e-04,
-4.352500e-06,-4.00e-04,
-4.351500e-06,-4.00e-04,
-4.350500e-06,-4.00e-04,
-4.349500e-06,-8.00e-04,
-4.348500e-06,-2.00e-04,
-4.347500e-06,-8.00e-04,
-4.346500e-06,-4.00e-04,
-4.345500e-06,-8.00e-04,
-4.344500e-06,-4.00e-04,
-4.343500e-06,-4.00e-04,
-4.342500e-06,-8.00e-04,
-4.341500e-06,-8.00e-04,
-4.340500e-06,-8.00e-04,
-4.339500e-06,-4.00e-04,
-4.338500e-06,-4.00e-04,
-4.337500e-06,-4.00e-04,
-4.336500e-06,-4.00e-04,
-4.335500e-06,-4.00e-04,
-4.334500e-06,-8.00e-04,
-4.333500e-06,-8.00e-04,
-4.332500e-06,-4.00e-04,
-4.331500e-06,-8.00e-04,
-4.330500e-06,-4.00e-04,
-4.329500e-06,-4.00e-04,
-4.328500e-06,-4.00e-04,
-4.327500e-06,-8.00e-04,
-4.326500e-06,-8.00e-04,
-4.325500e-06,-4.00e-04,
-4.324500e-06,-8.00e-04,
-4.323500e-06,-8.00e-04,
-4.322500e-06,-4.00e-04,
-4.321500e-06,-4.00e-04,
-4.320500e-06,-4.00e-04,
-4.319500e-06,-8.00e-04,
-4.318500e-06,-4.00e-04,
-4.317500e-06,-4.00e-04,
-4.316500e-06,-4.00e-04,
-4.315500e-06,-8.00e-04,
-4.314500e-06,-8.00e-04,
-4.313500e-06,-8.00e-04,
-4.312500e-06,-8.00e-04,
-4.311500e-06,-4.00e-04,
-4.310500e-06,-8.00e-04,
-4.309500e-06,-4.00e-04,
-4.308500e-06,-4.00e-04,
-4.307500e-06,-4.00e-04,
-4.306500e-06,-4.00e-04,
-4.305500e-06,-4.00e-04,
-4.304500e-06,-4.00e-04,
-4.303500e-06,-4.00e-04,
-4.302500e-06,-8.00e-04,
-4.301500e-06,-8.00e-04,
-4.300500e-06,-4.00e-04,
-4.299500e-06,-8.00e-04,
-4.298500e-06,-4.00e-04,
-4.297500e-06,-4.00e-04,
-4.296500e-06,-4.00e-04,
-4.295500e-06,-8.00e-04,
-4.294500e-06,-8.00e-04,
-4.293500e-06,-8.00e-04,
-4.292500e-06,-4.00e-04,
-4.291500e-06,-4.00e-04,
-4.290500e-06,-4.00e-04,
-4.289500e-06,-4.00e-04,
-4.288500e-06,-4.00e-04,
-4.287500e-06,-8.00e-04,
-4.286500e-06,-8.00e-04,
-4.285500e-06,-8.00e-04,
-4.284500e-06,-8.00e-04,
-4.283500e-06,-8.00e-04,
-4.282500e-06,-4.00e-04,
-4.281500e-06,-8.00e-04,
-4.280500e-06,-4.00e-04,
-4.279500e-06,-8.00e-04,
-4.278500e-06,-8.00e-04,
-4.277500e-06,-4.00e-04,
-4.276500e-06,-4.00e-04,
-4.275500e-06,-8.00e-04,
-4.274500e-06,-8.00e-04,
-4.273500e-06,-4.00e-04,
-4.272500e-06,-8.00e-04,
-4.271500e-06,-4.00e-04,
-4.270500e-06,-8.00e-04,
-4.269500e-06,-8.00e-04,
-4.268500e-06,-8.00e-04,
-4.267500e-06,-8.00e-04,
-4.266500e-06,-8.00e-04,
-4.265500e-06,-4.00e-04,
-4.264500e-06,-4.00e-04,
-4.263500e-06,-8.00e-04,
-4.262500e-06,-8.00e-04,
-4.261500e-06,-4.00e-04,
-4.260500e-06,-4.00e-04,
-4.259500e-06,-4.00e-04,
-4.258500e-06,-8.00e-04,
-4.257500e-06,-8.00e-04,
-4.256500e-06,-4.00e-04,
-4.255500e-06,-4.00e-04,
-4.254500e-06,-4.00e-04,
-4.253500e-06,-4.00e-04,
-4.252500e-06,-8.00e-04,
-4.251500e-06,-8.00e-04,
-4.250500e-06,-4.00e-04,
-4.249500e-06,-4.00e-04,
-4.248500e-06,-8.00e-04,
-4.247500e-06,-8.00e-04,
-4.246500e-06,-8.00e-04,
-4.245500e-06,-8.00e-04,
-4.244500e-06,-4.00e-04,
-4.243500e-06,-4.00e-04,
-4.242500e-06,-8.00e-04,
-4.241500e-06,-8.00e-04,
-4.240500e-06,-8.00e-04,
-4.239500e-06,-8.00e-04,
-4.238500e-06,-8.00e-04,
-4.237500e-06,-8.00e-04,
-4.236500e-06,-4.00e-04,
-4.235500e-06,-8.00e-04,
-4.234500e-06,-4.00e-04,
-4.233500e-06,-8.00e-04,
-4.232500e-06,-4.00e-04,
-4.231500e-06,-4.00e-04,
-4.230500e-06,-8.00e-04,
-4.229500e-06,-8.00e-04,
-4.228500e-06,-4.00e-04,
-4.227500e-06,-4.00e-04,
-4.226500e-06,-8.00e-04,
-4.225500e-06,-4.00e-04,
-4.224500e-06,-4.00e-04,
-4.223500e-06,-8.00e-04,
-4.222500e-06,-8.00e-04,
-4.221500e-06,-8.00e-04,
-4.220500e-06,-2.00e-04,
-4.219500e-06,-8.00e-04,
-4.218500e-06,-4.00e-04,
-4.217500e-06,-4.00e-04,
-4.216500e-06,-4.00e-04,
-4.215500e-06,-8.00e-04,
-4.214500e-06,-8.00e-04,
-4.213500e-06,-8.00e-04,
-4.212500e-06,-4.00e-04,
-4.211500e-06,-8.00e-04,
-4.210500e-06,-8.00e-04,
-4.209500e-06,-8.00e-04,
-4.208500e-06,-8.00e-04,
-4.207500e-06,-4.00e-04,
-4.206500e-06,-4.00e-04,
-4.205500e-06,-8.00e-04,
-4.204500e-06,-8.00e-04,
-4.203500e-06,-8.00e-04,
-4.202500e-06,-4.00e-04,
-4.201500e-06,-4.00e-04,
-4.200500e-06,-4.00e-04,
